"Book_Id";"Title";"Author";"My_Rating";"Average_Rating";"Number_of_Pages";"Original_Publication_Year";"Date_Read"
10315086;"Café Budapest";"Alfonso Zapico";"3";"3.78";"168";"2008";"2022/12/25"
61433996;"El libro de las casas";"Andrea Bajani";"4";"3.13";"288";"2021";"2022/12/16"
32201693;"Women in Global Science: Advancing Academic Careers through International Collaboration";"Kathrin Zippel";"4";"3.67";"224";"2017";"2022/12/16"
63039606;"Amor y morriña";"Theodor Kallifatides";"3";"3.79";"224";"2022";"2022/12/06"
37541805;"Apegos feroces";"Vivian Gornick";"4";"4.05";"195";"1987";"2022/12/03"
2609845;"Elena sabe";"Claudia Piñeiro";"5";"4.11";"173";"2007";"2022/11/23"
192313;"Women Don't Ask: Negotiation and the Gender Divide";"Linda Babcock";"3";"3.99";"240";"2003";"2022/11/18"
11380570;"Joining the Resistance";"Carol Gilligan";"3";"3.94";"140";"2011";"2022/11/14"
6261146;"Bibliometrics And Citation Analysis: From The Science Citation Index To Cybermetrics";"Nicola De Bellis";"3";"2.50";"417";"2009";"2022/11/01"
51295692;"La flor muerta del algodón";"Nerea Rojas";"2";"4.19";"74";"2021";"2022/10/30"
41817577;"My Autobiography of Carson McCullers";"Jenn Shapland";"4";"4.11";"266";"2020";"2022/10/29"
33877912;"Matilde debe morir";"Cristian Acevedo";"3";"3.48";"144";"2020";"2022/10/20"
11395597;"Why Be Happy When You Could Be Normal?";"Jeanette Winterson";"5";"3.98";"230";"2011";"2022/10/23"
31951519;"The Usefulness of Useless Knowledge";"Abraham Flexner";"3";"4.25";"104";"1939";"2022/10/17"
39800570;"La mujer singular y la ciudad";"Vivian Gornick";"5";"3.87";"148";"2015";"2022/10/16"
53412888;"Panza de burro";"Andrea Abreu López";"4";"3.89";"172";"2020";"2022/10/15"
21245033;"Night on the Milky Way Railway (The Kenji Collection)";"Kenji Miyazawa";"3";"3.90";"100";"1934";"2022/10/11"
42815544;"Bunny";"Mona Awad";"4";"3.57";"307";"2019";"2022/10/08"
6617446;"El porvenir de mi pasado";"Mario Benedetti";"4";"3.93";"464";"1984";"2022/10/02"
57693262;"Cleopatra and Frankenstein";"Coco Mellors";"4";"3.97";"384";"2022";"2022/09/29"
43587603;"Vozdevieja";"Elisa Victoria";"4";"3.77";"256";"2019";"2022/09/16"
274392;"Black Skin, White Masks";"Frantz Fanon";"3";"4.26";"232";"1952";"2022/09/24"
25698993;"Las olas";"Virginia Woolf";"5";"4.15";"224";"1931";"2022/09/11"
18134883;"Sobre la brevedad de la vida";"Seneca";"3";"4.19";"118";"49";"2022/09/03"
6334;"Never Let Me Go";"Kazuo Ishiguro";"4";"3.84";"288";"2005";"2022/09/02"
38474;"Another Country";"James Baldwin";"4";"4.30";"426";"1962";"2022/08/30"
59364173;"I'm Glad My Mom Died";"Jennette McCurdy";"3";"4.59";"320";"2022";"2022/08/22"
11996;"I Who Have Never Known Men";"Jacqueline Harpman";"5";"4.25";"208";"1995";"2022/08/16"
28787166;"Las cosas que perdimos en el fuego";"Mariana Enríquez";"4";"4.07";"200";"2016";"2022/08/18"
13075861;"Lulu";"Mircea Cărtărescu";"3";"3.54";"160";"1994";"2022/08/12"
36436100;"Notes on Camp";"Susan Sontag";"4";"3.95";"55";"1964";"2022/08/05"
828503;"Giovanni’s Room";"James Baldwin";"5";"4.30";"150";"1956";"2022/08/04"
69896;"La ignorancia";"Milan Kundera";"4";"3.80";"208";"2000";"2022/08/01"
60725916;"Trío";"Johanna Hedman";"4";"3.51";"345";"2022";"2022/07/31"
